number,name,COMM Exp,modes of inquiry,representation,cel,mapc,mtpc,ocw,raa,newMedia,semester-year,professor
390.004,echnology and Social Justice,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALL2022,Monahan
490.001,Evolution of Storytelling,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALL2022,Jim Lampley
490.003,Deliberative Democracy,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALL2022,Kevin Marinelli
390.001,Algorithms and Society,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,SPRING2023,Aaron Shapiro
390.002,Writing the Full  Length Play,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2023,Howard Craft
390.003,The ReWrite,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2023,Mike Acosta
390.005,Extract Internship,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SPRING2023,Cori Dauber
490.001,Electronic Storytelling,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,SPRING2023,Jim Lampley
490.002,Environmental Media  and Advocacy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,SPRING2023,David Monje
490.004,Careers in the Arts,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SPRING2023,Massenburg
490.005,Children's Media and Culture,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,SPRING2023,Santo
490.003,Nonprofit COMM and Ethics,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALL2023,Megan Fitzmaurice
490.004,TV Structure and Genre for Writers,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALL2023,Joy Goodwin
89.001,"COMM, Culture and Social Justice",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,SPRING2024,Mike Palm
89.002,What is Cultural Studies,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,SPRING2024,Kumi SIlva
89.003,The Art of the Documentary,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2024,Julia Haslett
89.006,The Social Life of Things,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,SPRING2024,Aaron Shapiro
89.007,Fostering Civil Disobedience,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,SPRING2024,Kevin Marinelli
390.003,The Re-Write,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2024,Mike Acosta
390.005,Media Audiences,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,SPRING2024,Santo
490.002,Environmental Media and Advocacy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,SPRING2024,David Monje
490.003,Comedy: Concept/Structure,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2024,Emily Spivey
490.004,Fiction Podcasting,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,SPRING2024,Howard Craft
490.007,Race and Rhetoric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,SPRING2024,E. Chebrolu
89.001,The Art of the Documentary,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALL2024,Julia Haslett
490.003,Environmental Media and Advocacy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALL2024,David Monje
490.004,Changing the Narrative: Youth Homelessness,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALL2024,Santo; Megel
490.007,Race and Rhetoric,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALL2024,E. Chebrolu
490.009,Queering Organizations,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALL2024,David Dooling
490.011,2D to 3D Animation,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALL2024,Kelsey Brod